A0ADemolishStructure	_("Demolish Structure")
A0BaBaBunker	_("Scavenger Bunker")
A0BabaCornerWall	_("Scavenger CornerWall")
A0BaBaFactory	_("Scavenger Factory")
A0BaBaFlameTow	"*A0BaBaFlameTow*"
A0BaBaFlameTower	_("Scavenger Flame Tower")
A0BaBaFlameTowerEnd	_("Scavenger Flame Tower End")
A0BaBaGunTower	_("Scavenger Gun Tower")
A0BaBaGunTowerEND	"*Scavenger End Tower*"
A0BaBaHorizontalWall	_("Scavenger Horizontal Wall")
A0BaBaMortarPit	"*BaBaMortarPit*"
A0BaBaPowerGenerator	_("Scavenger Power Generator")
A0BaBaRocketPit	_("Scavenger Rocket Pit")
A0BaBaRocketPitAT	_("Scavenger AT-Rocket Pit")
A0BaBaVtolFactory	"Scavenger Chopper Factory"
A0BaBaVtolPad	"VTOL BaBa Rearming Pad"
A0CannonTower	_("Cannon Tower")
A0ComDroidControl	_("Command Relay Center")
A0CommandCentre	_("Command Center")
A0CommandCentreAR	 "Fortified Command Center"
A0CommandCentreCO	_("Collective Command Center")
A0CommandCentreNE	"*CommandCenterNE*"
A0CommandCentreNP	_("New Paradigm Command Center")
A0CyborgFactory	_("Cyborg Factory")
A0CyborgFactoryMech	"Mech Cyborg Factory"
A0DedicatedResearchFacility	"Dedicated Research Complex"
A0FacMod1	_("Factory Module")
A0HardcreteMk1CWall	_("Hardcrete Corner Wall")
A0HardcreteMk1Gate	_("Hardcrete Gate")
A0HardcreteMk1GateHar	"Hardcrete Gate"
A0HardcreteMk1Wall	_("Hardcrete Wall")
A0LargeFacMod1	"Factory Module"
A0LargeFactory1	"Advanced Factory"
A0LargeVTolFactory1	"Advanced VTOL Factory"
A0LasSatCommand	_("Laser Satellite Command Post")
A0LightFactory	_("Factory")
A0Plascrete	"Plascrete Wall"
A0PlascreteC	"Plascrete Corner Wall"
A0PlascreteR	"Reinforced Plascrete Wall"
A0PlascreteRC	"Reinforced Plascrete Corner Wall"
A0Plasteel	"Plasteel Wall"
A0PlasteelC	"Plasteel Corner Wall"
A0PlasteelG	"Plasteel Gate"
A0PowerGenerator	_("Power Generator")
A0PowMod1	_("Power Module")
A0PowMod2	"Power Module"
A0RepairCentre	_("Repair Center")
A0RepairCentre2	_("Repair Center")
A0RepairCentre3	_("Repair Facility")
A0RepairCentre4	"Robotic Repair Facility"
A0ResearchFacility	_("Research Facility")
A0ResearchModule1	_("Research Module")
A0ResearchModule2	"Research Module"
A0ResourceExtractor	_("Oil Derrick")
A0ResourceExtractorMG	"Guarded Oil Derrick"
A0ResourceExtractorScav	"Scavenger Derrick"
A0RoboticFactory	"Robotic Factory"
A0Sat-linkCentre	_("Satellite Uplink Center")
A0Supercrete	"Supercrete Wall"
A0SupercreteC	"Supercrete Corner Wall"
A0TankTrap	_("Tank Traps")
A0TankTrap2	_("Dragon's Teeth")
A0VapPowerGenerator	"Vapor Power Generator"
A0VTolFactory1	_("VTOL Factory")
A0VtolPad	_("VTOL Rearming Pad")
AAGun1Mk1	_("Tornado Flak Turret")
AAGun2Mk1	_("AA Flak Cannon")
AAGun2Mk1-VTOL	_("VTOL Flak Cannon")
AAGunLaser	_("Stormbringer AA Laser")
AASite-QuadBof	_("AA Flak Cannon Emplacement")
AASite-QuadMg1	_("Hurricane AA Site")
AASite-QuadRotMg	_("Whirlwind AA Site")
AASite-TwinBof	_("Tornado AA Site")
A-Cobra-Hover-HMG	_("Heavy Machinegun Cobra Hover")
A-Cobra-Hover-MC	_("Medium Cannon Cobra Hover")
A-Cobra-Trk-HMG	_("Heavy Machinegun Cobra Tracks")
A-Cobra-Wheels-HMG	_("Heavy Machinegun Cobra Wheels")
ADVANCEDRESEARCH	_("ADVANCED RESEARCH")
Advmaterialslab	 "Advancedmaterialslab"
Aerodynamicslab	 "Aerodynamicslab"
AG-Retaliation-H	"Assault Gun Retaliation Hover"
A-HCobra-Hover-HMG	"Heavy Machinegun HCobra Hover"
A-HCobra-Hover-MC	"Medium Cannon HCobra Hover"
A-HCobra-Wheels-HMG	"Heavy Machinegun HCobra Wheels"
A-HPython-HalfTrk-Lancer	"Lancer HPython Half-tracks"
A-HPython-Hover-HC	"Heavy Cannon HPython Hover"
A-HPython-Hover-MC	"Medium Cannon HPython Hover"
A-HPython-Trk-Lancer	"Lancer HPython Tracks"
A-HViper-Trk-MG	"Machinegun HViper Tracks"
A-HViper-Trk-TMG	"Twin Machinegun HViper Tracks"
A-HViper-Wheels-HMG	"Heavy Machinegun HViper Wheels"
A-HViper-Wheels-TMG	"Twin Machinegun HViper Wheels"
A-HvyHPython-Pepperpot-Track	"HvyHPython Pepperpot Track"
A-HvyHPython-Trk-Lancer	"Lancer HvyHPython Tracks"
A-HvyHPython-Trk-Pulse	"Pulse Laser HvyHPython Tracks"
A-HvyHPython-Trk-Rail	"Rail Gun HvyHPython Tracks"
A-HvyLeopard-Pepperpot-Track	"HvyLeopard Pepperpot Track"
A-HvyLeopard-Trk-Lancer	"Lancer HvyLeopard Tracks"
A-HvyLeopard-Trk-Pulse	"Pulse Laser HvyLeopard Tracks"
A-HvyLeopard-Trk-Rail	"Rail Gun HvyLeopard Tracks"
